moody_lighting,图片属性>光照>氛围光照
cinematic_lighting,图片属性>光照>电影级光照|电影光效
studio_lighting,图片属性>光照>工作室光照
soft_lighting,图片属性>光照>柔光
hard_lighting,图片属性>光照>硬光
volumetric_lighting,图片属性>光照>体积光
contre-jour,图片属性>光照>逆光
beautiful_lighting,图片属性>光照>美丽的光照
split_lighting,图片属性>光照>分割照明
accent_lighting,图片属性>光照>重点照明
strong_rim_light,图片属性>光照>轮廓光
tyndall_effect,图片属性>光照>丁达尔效应
caustics,图片属性>光照>水波纹(需与水相关词条搭配)|焦散
illustration,图片属性>艺术类型>插画
sketch,图片属性>艺术类型>草图|素描
realistic,图片属性>艺术类型>写实|现实的/真实的
octane_render,图片属性>艺术类型>渲染
outline,图片属性>艺术类型>轮廓强调|大纲
no_lineart,图片属性>艺术类型>没有描线|没有线稿
detailed_and_intricate,图片属性>艺术类型>细节且详细的
colored_pencil_(medium),图片属性>艺术类型>彩铅画|彩色铅笔(中号)
cel_shading,图片属性>艺术类型>三渲二|细胞阴影
anime,图片属性>艺术类型>动画风
bishoujo_figure,图片属性>艺术类型>手办
wallpaper,图片属性>艺术类型>壁纸
official_art,图片属性>艺术类型>官方图片|官方画作|官方艺术
concept_art,图片属性>艺术类型>概念美术|概念艺术
magazine_scan,图片属性>艺术类型>杂志扫描
watercolor_(medium),图片属性>艺术类型>水彩|水彩(中)
watercolor_pencil_(medium),图片属性>艺术类型>水彩铅笔|水彩笔(中号)
oil_painting_(medium),图片属性>艺术类型>油画|油画(中)
pixel_art,图片属性>艺术类型>像素画|像素风|像素艺术
style_of_cygames,图片属性>艺术风格>cygames
style_of_genshin_impact,图片属性>艺术风格>原神
style_of_love_live!,图片属性>艺术风格>lovelive
style_of_arknights,图片属性>艺术风格>明日方舟
style_of_granblue_fantasy,图片属性>艺术风格>碧蓝幻想
style_of_azur_lane,图片属性>艺术风格>碧蓝航线
style_of_gochuumon_wa_usagi_desu_ka,图片属性>艺术风格>点兔
style_of_bang_dream!,图片属性>艺术风格>邦邦
