1girl,"1_个女人,人物类型>1_个女人,1个女孩"
solo,"单人,人物类型>单人"
highres,"高分辨率,图片属性>图片格式>高分辨率,图片类型>高分辨率"
long_hair,"长发,人物属性>发色与发型>长发"
commentary_request,"评论请求"
breasts,"胸部,人物胸部>胸部,乳房"
looking_at_viewer,"看着镜头,看向阅图者,人物属性>视线>看着镜头,看着观众"
blush,"脸红,脸红的,人物属性>情绪>脸红,人物面部>脸红的"
smile,"微笑,人物面部>微笑"
short_hair,"短发,人物属性>发色与发型>短发"
open_mouth,"张开嘴,张口,人物属性>情绪>张开嘴"
bangs,"刘海,人物属性>发色与发型>刘海"
blue_eyes,"蓝色眼睛,蓝眼,人物属性>眼睛>蓝色眼睛,蓝眼睛"
multiple_girls,"多个女孩"
skirt,"短裙,裙子,服饰>下装>短裙"
blonde_hair,"金发,人物属性>发色与发型>金发,人物发色>金发"
large_breasts,"大胸_(D),人物胸部>大胸_(D),大乳房"
brown_hair,"棕发,茶发,人物属性>发色与发型>棕发,棕色头发,人物发色>茶发"
simple_background,"简单背景/无背景,背景>简单背景/无背景,简单的背景"
shirt,"衬衫,服饰>衬衫和上衣>衬衫"
black_hair,"黑发,人物属性>发色与发型>黑发,人物发色>黑发"
hair_ornament,"头饰,人物头部饰品>头饰,发饰"
absurdres,"超高分辨率,图片属性>图片格式>超高分辨率,荒谬"
red_eyes,"红色眼睛,红眼,人物属性>眼睛>红色眼睛,红眼睛,人物眼睛>红眼"
thighhighs,"长筒袜,过膝袜,服饰>腿部服饰类型>长筒袜,人物鞋袜>过膝袜"
hat,"帽子,服饰>头饰>帽子"
gloves,"手套,人物上身装饰>手套"
1boy,"1_个男人,人物类型>1_个男人,1男"
bad_id,"错误的_id"
long_sleeves,"长袖,服饰>袖子>长袖,人物上身装饰>长袖"
white_background,"白色背景,背景>白色背景"
dress,"连衣裙,人物全身服饰>连衣裙"
original,"原创,图片类型>原创,原版"
ribbon,"丝带,人物头部饰品>丝带"
bow,"蝴蝶结,人物上身装饰>蝴蝶结,弓"
touhou,"东方"
navel,"肚脐,人物下身装饰>肚脐"
bad_pixiv_id,"坏的_pixiv_id"
2girls,"2_个女人,人物类型>2_个女人,两女"
photoshop_(medium),"photoshop(中)"
holding,"拿着,人物手势动作>拿着,控股"
animal_ears,"动物耳朵,人物属性>耳朵>动物耳朵"
cleavage,"乳沟,人物胸部>乳沟"
hair_between_eyes,"眼间刘海,人物发型>眼间刘海,眼睛之间的头发"
bare_shoulders,"裸露的肩膀,露双肩,人物属性>肩膀>裸露的肩膀,人物上身装饰>露双肩"
commentary,"评论"
brown_eyes,"棕色眼睛,棕眼,人物属性>眼睛>棕色眼睛,棕色的眼睛"
twintails,"双马尾,人物属性>发色与发型>双马尾,人物发型>双马尾"
medium_breasts,"中等胸部_(C),人物胸部>中等胸部_(C),中等乳房"
jewelry,"首饰,人物头部饰品>首饰"
sitting,"坐着,人物属性>姿势>坐着,人体姿势>坐着"
very_long_hair,"很长的头发,人物发型>很长的头发"
underwear,"内衣,人物全身服饰>内衣"
closed_mouth,"闭嘴,人物面部>闭嘴,闭口"
nipples,"乳头,人物胸部>乳头"
school_uniform,"校服,学校制服,服饰>制服与其他服装>校服,人物全身服饰>学校制服"
green_eyes,"绿色眼睛,绿眼,人物属性>眼睛>绿色眼睛,绿眼睛"
blue_hair,"蓝发,蓝发/水色发,人物属性>发色与发型>蓝发,蓝色的头发"
standing,"站着,人物属性>姿势>站着,站立"
purple_eyes,"紫色眼睛,紫眼,人物属性>眼睛>紫色眼睛,紫色的眼睛"
collarbone,"锁骨,人物属性>脖子>锁骨,人物上身装饰>锁骨"
panties,"内裤,人物下身装饰>内裤"
monochrome,"单色,单色的,图片属性>颜色>单色,图片属性(高级)>镜头效果>单色的"
tail,"尾巴,人物属性>尾巴>尾巴,人物下身装饰>尾巴"
jacket,"夹克衫,服饰>衬衫和上衣>夹克衫"
translated,"翻译"
swimsuit,"泳衣,泳装,服饰>泳装和紧身服>泳衣,人物全身服饰>泳装"
full_body,"全身,人物摆位>全身"
closed_eyes,"闭上眼睛,闭眼,人物属性>情绪>闭上眼睛,人物眼睛>闭眼"
hair_ribbon,"发带,人物属性>其他毛发相关>发带,人物头部饰品>发带"
kantai_collection,"康泰系列"
yellow_eyes,"金眼,人物眼睛>金眼,黄色的眼睛"
weapon,"武器,场景建设>物品>武器"
ponytail,"马尾辫,人物属性>发色与发型>马尾辫,人物发型>马尾"
upper_body,"上半身,图片属性>构图>上半身,人物摆位>上半身"
purple_hair,"紫发,人物属性>发色与发型>紫发,紫色头发,人物发色>紫发"
white_shirt,"白衬衫"
pink_hair,"粉发,人物属性>发色与发型>粉发,粉红色的头发"
ass,"屁股,人物下身装饰>屁股"
comic,"漫画,图片属性>图片格式>漫画,风格>漫画"
braid,"有辫子的,人物属性>发色与发型>有辫子的,编织,人物发型>辫子"
flower,"花,花卉>花"
ahoge,"呆毛,人物属性>发色与发型>呆毛"
